cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,spectral,6,2.595,9,4.52,25.41,1,1075,,1075,0,686,1076,0,25.02,1070,0,0,0,1,294,2376.0,27.0,False,0,52,55,False,60.0
ws_n486,Z12,17188,spectral,7,2.679,9,3.81,26.11,1,1007,,1007,0,491,1008,0,25.88,1001,0,0,0,1,334,2410.0,32.0,False,0,35,53,False,60.1
ws_n486,Z12,17188,spectral,8,2.66,9,2.34,27.58,1,1059,,1059,0,617,1060,0,26.51,1049,0,0,0,1,293,2403.0,30.0,False,0,27,41,False,60.0
ws_n486,Z12,17188,spectral,9,2.576,9,2.77,27.09,1,921,,921,0,435,922,0,24.5,830,0,0,0,1,251,2428.0,30.0,False,0,33,48,False,60.0
ws_n486,Z12,17188,trivial,0,2.813,10,0.0,29.92,1,1042,,1042,0,1054,1043,0,28.23,1020,0,0,0,1,9773,3948.0,36.0,False,1,191,200,False,60.0
ws_n486,Z12,17188,trivial,1,2.72,9,0.0,29.65,1,994,,994,0,825,995,0,21.51,818,0,0,0,1,13304,4121.0,40.0,False,0,196,243,False,60.0
ws_n486,Z12,17188,trivial,2,2.823,10,0.03,29.44,1,1092,,1092,0,1299,1093,0,29.18,1088,0,0,0,1,10073,3914.0,35.0,False,0,208,214,False,60.1
ws_n486,Z12,17188,trivial,3,2.564,9,0.0,29.89,1,972,,972,0,700,973,0,25.62,818,0,0,0,1,13304,4121.0,40.0,False,0,196,243,False,60.1
ws_n486,Z12,17188,trivial,4,2.663,11,0.0,29.9,1,894,,894,0,547,895,0,27.44,818,0,0,0,1,13304,4121.0,40.0,False,0,196,243,False,60.1
ws_n486,Z12,17188,trivial,5,3.0,11,0.0,29.4,1,978,,978,0,727,979,0,25.26,818,0,0,0,1,13304,4121.0,40.0,False,0,196,243,False,60.0
ws_n486,Z12,17188,trivial,6,2.642,9,0.0,29.91,1,943,,943,0,578,944,0,25.67,818,0,0,0,1,13304,4121.0,40.0,False,0,196,243,False,60.0
ws_n486,Z12,17188,trivial,7,2.722,10,0.0,29.93,1,1057,,1057,0,1134,1058,0,29.66,1054,0,0,0,1,9912,3938.0,36.0,False,0,199,205,False,60.0
ws_n486,Z12,17188,trivial,8,2.702,8,0.0,29.91,1,1027,,1027,0,1003,1028,0,28.4,1020,0,0,0,1,9773,3948.0,36.0,False,0,191,200,False,60.0
ws_n486,Z12,17188,trivial,9,2.687,9,0.0,29.94,1,943,,943,0,576,944,0,26.34,818,0,0,0,1,13304,4121.0,40.0,False,0,196,243,False,60.0
ws_n486,Z12,17188,landmark,0,3.086,12,0.0,29.92,1,564,,564,0,104,565,0,29.21,545,0,0,0,1,801,3402.0,29.0,False,0,64,83,False,60.0
ws_n486,Z12,17188,landmark,1,2.858,10,0.0,29.89,1,1155,,1155,0,697,1156,0,25.74,1036,0,0,0,1,1161,2984.0,35.0,False,1,74,91,False,60.0
ws_n486,Z12,17188,landmark,2,2.786,10,0.0,29.44,1,1128,,1128,0,632,1129,0,23.54,1036,0,0,0,1,1161,2984.0,35.0,False,0,74,91,False,60.0
ws_n486,Z12,17188,landmark,3,2.759,10,0.0,29.86,1,738,,738,0,269,739,0,29.84,738,0,0,0,1,955,3162.0,33.0,False,0,68,84,False,60.2
ws_n486,Z12,17188,landmark,4,2.981,10,0.0,29.9,1,1079,,1079,0,490,1080,0,28.95,1036,0,0,0,1,1161,2984.0,35.0,False,0,74,91,False,60.1
ws_n486,Z12,17188,landmark,5,2.883,10,0.0,29.88,1,1128,,1128,0,636,1129,0,26.73,1036,0,0,0,1,1161,2984.0,35.0,False,0,74,91,False,60.1
ws_n486,Z12,17188,landmark,6,2.745,9,0.0,29.93,1,1176,,1176,0,795,1177,0,24.28,1036,0,0,0,1,1161,2984.0,35.0,False,0,74,91,False,60.0
ws_n486,Z12,17188,landmark,7,2.784,9,0.0,29.86,1,931,,931,0,411,932,0,26.78,835,0,0,0,1,644,3041.0,32.0,False,0,67,88,False,60.0
ws_n486,Z12,17188,landmark,8,2.829,9,0.0,29.89,1,1097,,1097,0,540,1098,0,27.59,1036,0,0,0,1,1161,2984.0,35.0,False,0,74,91,False,60.0
ws_n486,Z12,17188,landmark,9,2.673,8,0.0,30.07,1,545,,545,0,91,546,0,29.85,545,0,0,0,1,801,3402.0,29.0,False,2,64,83,False,60.1
ws_n486,Z12,17188,random,0,3.0,11,0.0,29.89,1,1327,,1327,0,726,1328,0,28.68,1308,0,0,0,1,337,3451.0,32.0,False,0,57,57,False,60.1
ws_n486,Z12,17188,random,1,3.222,14,0.0,29.51,1,1028,,1028,0,318,1029,0,28.84,1018,0,0,0,1,273,3151.0,40.0,False,0,48,45,False,60.2
ws_n486,Z12,17188,random,2,2.975,10,0.0,29.79,1,983,,983,0,310,984,0,29.77,984,0,0,0,1,316,3412.0,31.0,False,0,40,48,False,60.1
ws_n486,Z12,17188,random,3,3.241,12,0.0,29.97,1,987,,987,0,322,988,0,29.9,988,0,0,0,1,532,3760.0,33.0,False,0,70,71,False,60.1
ws_n486,Z12,17188,random,4,3.109,11,0.0,29.62,1,1227,,1227,0,511,1228,0,27.72,1176,0,0,0,1,339,3278.0,34.0,False,0,61,56,False,60.1
ws_n486,Z12,17188,random,5,3.593,15,0.0,29.9,1,1244,,1244,0,644,1245,0,29.18,1225,0,0,0,1,508,3284.0,31.0,False,1,66,68,False,60.0
