cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,width_x,width_y,pmiss,subm,time
K100,P16,,subm,2,11.65,17,0.0,0.83,0,0,0,0,0,0,15.0,,0,,,,False,52.4
K100,P16,,unb,0,11.23,16,0.0,0.84,0,0,0,0,0,0,15.0,,0,9,9,0,False,24.6
K100,P16,,unb,1,11.51,17,0.0,0.79,0,0,0,0,0,0,15.0,,0,9,9,0,False,24.9
K100,P16,,unb,2,11.65,17,0.0,0.79,0,0,0,0,0,0,15.0,,0,9,9,0,False,54.2
K100,P16,,both,0,11.23,16,0.0,0.77,0,0,0,0,0,0,15.0,,0,9,9,0,False,25.7
K100,P16,,both,1,11.51,17,0.0,0.84,0,0,0,0,0,0,15.0,,0,9,9,0,False,25.1
K100,P16,,both,2,11.65,17,0.0,0.82,0,0,0,0,0,0,15.0,,0,9,9,0,False,55.2
turan_n162,P16,2647,default,0,7.654,8,0.05,6.34,3,107,0,0,0,0,14.0,,0,,,,False,60.2
turan_n162,P16,2647,default,1,7.654,8,0.07,6.32,3,107,0,0,0,0,14.0,,0,,,,False,60.3
turan_n162,P16,2647,default,2,7.654,8,0.04,6.43,3,107,0,0,0,0,14.0,,0,,,,False,60.1
turan_n162,P16,2647,subm,0,7.654,8,0.02,6.46,3,107,0,0,0,0,14.0,,0,,,,False,60.4
turan_n162,P16,2647,subm,1,7.654,8,0.04,6.68,3,107,0,0,0,0,14.0,,0,,,,False,60.2
turan_n162,P16,2647,subm,2,7.654,8,0.17,6.58,3,107,0,0,0,0,14.0,,0,,,,False,60.1
turan_n162,P16,2647,unb,0,7.654,8,0.03,6.54,3,107,0,0,0,0,14.0,,0,8,8,0,False,60.0
turan_n162,P16,2647,unb,1,7.815,8,0.13,6.61,3,107,0,0,0,0,14.0,,0,8,8,0,False,60.0
turan_n162,P16,2647,unb,2,7.654,8,0.01,6.56,3,107,0,0,0,0,14.0,,0,8,8,0,False,60.5
turan_n162,P16,2647,both,0,7.654,8,0.01,6.49,3,107,0,0,0,0,14.0,,0,8,8,0,False,60.3
turan_n162,P16,2647,both,1,7.815,8,0.05,6.46,3,107,0,0,0,0,14.0,,0,8,8,0,False,60.0
turan_n162,P16,2647,both,2,7.654,8,0.12,6.52,3,107,0,0,0,0,14.0,,0,8,8,0,False,60.2
ws_n486,P16,17188,default,0,3.601,15,0.07,29.74,50,764,22,0,0,0,22.0,,0,,,,False,60.0
ws_n486,P16,17188,default,1,3.467,13,0.07,30.77,34,669,11,0,0,0,23.0,,0,,,,False,60.0
ws_n486,P16,17188,default,2,3.905,14,0.17,30.23,34,669,11,0,0,0,23.0,,0,,,,False,60.0
ws_n486,P16,17188,subm,0,3.868,14,0.07,30.74,34,669,11,0,0,0,23.0,,0,,,,True,60.0
ws_n486,P16,17188,subm,1,3.829,14,0.16,29.84,30,721,12,0,0,0,22.0,,0,,,,True,60.0
ws_n486,P16,17188,subm,2,3.549,12,0.1,30.73,34,669,11,0,0,0,23.0,,0,,,,True,60.0
ws_n486,P16,17188,unb,0,3.3,13,0.07,27.52,11,331,2,0,0,0,12.0,,1,12,13,0,False,60.0
ws_n486,P16,17188,unb,1,3.214,11,0.07,30.32,19,410,1,0,0,0,14.0,,0,13,15,2,False,60.0
ws_n486,P16,17188,unb,2,3.076,12,0.07,29.8,16,382,0,0,0,0,14.0,,0,11,14,3,False,60.0
ws_n486,P16,17188,both,0,3.3,13,0.07,26.27,11,331,2,0,0,0,12.0,,1,12,13,0,False,60.0
ws_n486,P16,17188,both,1,3.064,10,0.08,28.8,16,382,0,0,0,0,14.0,,0,11,14,3,False,60.0
ws_n486,P16,17188,both,2,3.298,11,0.08,26.92,7,338,2,0,0,0,13.0,,0,12,14,0,False,60.0
