source,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.7,pegasus_6,minorminer-layout,3,1,1,2.6,4,52,0.09140787499927683,20,142
ER_n20_d0.7,pegasus_6,minorminer-layout,4,1,1,2.7,4,54,0.11211937500047497,20,142
ER_n20_d0.7,pegasus_6,reweave-base,0,1,1,2.5,3,50,0.6292975420001312,20,142
ER_n20_d0.7,pegasus_6,reweave-base,1,1,1,2.65,3,53,0.5294812920001277,20,142
ER_n20_d0.7,pegasus_6,reweave-base,2,1,1,2.5,3,50,1.096940707997419,20,142
ER_n20_d0.7,pegasus_6,reweave-base,3,1,1,2.5,3,50,0.6705801249991055,20,142
ER_n20_d0.7,pegasus_6,reweave-base,4,1,1,2.7,4,54,0.5235714580012427,20,142
ER_n20_d0.7,pegasus_6,reweave,0,1,1,2.5,3,50,0.23704245800036006,20,142
ER_n20_d0.7,pegasus_6,reweave,1,1,1,2.65,3,53,0.1113691659993492,20,142
ER_n20_d0.7,pegasus_6,reweave,2,1,1,2.5,3,50,0.1658537500006787,20,142
ER_n20_d0.7,pegasus_6,reweave,3,1,1,2.5,3,50,0.2506076249992475,20,142
ER_n20_d0.7,pegasus_6,reweave,4,1,1,2.7,4,54,0.13430670800153166,20,142
ER_n20_d0.7,pegasus_6,reweave-thorough,0,1,1,2.45,3,49,0.8193178750007064,20,142
ER_n20_d0.7,pegasus_6,reweave-thorough,1,1,1,2.65,3,53,0.8135305419964425,20,142
ER_n20_d0.7,pegasus_6,reweave-thorough,2,1,1,2.5,3,50,0.9377172499989683,20,142
ER_n20_d0.7,pegasus_6,reweave-thorough,3,1,1,2.45,3,49,1.0439977909991285,20,142
ER_n20_d0.7,pegasus_6,reweave-thorough,4,1,1,2.5,3,50,0.777218624996749,20,142
ER_n20_d0.7,pegasus_6,reweave-stacked,0,1,1,2.65,4,53,0.1786767920020793,20,142
