topo,n,p,inst_seed,arm,base_seed,K,per_run_s,status,success,n_success,acl,acl_spur,max_chain,qubits,time,err
Z12,100,0.3,103,mm-bo12x5,4,12,5.0,SUCCESS,1,12,10.5,9.58,17,1050,63.4776,
Z12,100,0.3,104,mm-bo3x20,2,3,20.0,SUCCESS,1,3,9.28,8.65,14,928,54.1472,
Z12,100,0.3,104,mm-bo3x20,3,3,20.0,SUCCESS,1,3,8.93,8.35,14,893,51.9785,
Z12,100,0.3,104,mm-bo6x10,0,6,10.0,SUCCESS,1,6,9.41,8.88,15,941,62.2511,
Z12,100,0.3,104,mm-bo12x5,0,12,5.0,SUCCESS,1,12,10.32,9.52,17,1032,62.8533,
Z12,100,0.3,104,mm-bo6x10,1,6,10.0,SUCCESS,1,6,9.71,9.2,15,971,60.9161,
Z12,100,0.3,105,mm-bo3x20,0,3,20.0,SUCCESS,1,3,9.39,8.8,15,939,46.0698,
Z12,100,0.3,104,mm-bo6x10,2,6,10.0,SUCCESS,1,6,9.64,8.88,16,964,60.532,
Z12,100,0.3,104,mm-bo12x5,1,12,5.0,SUCCESS,1,12,10.26,9.49,16,1026,63.4506,
Z12,100,0.3,104,mm-bo12x5,2,12,5.0,SUCCESS,1,12,10.0,9.29,16,1000,63.3465,
Z12,140,0.2,101,mm-bo1x60,0,1,60.0,SUCCESS,1,1,12.6786,11.8643,20,1775,33.2584,
Z12,140,0.2,101,mm-bo1x60,1,1,60.0,SUCCESS,1,1,12.5143,11.8929,21,1752,30.9878,
Z12,100,0.3,104,mm-bo6x10,3,6,10.0,SUCCESS,1,6,9.56,8.89,16,956,61.9354,
Z12,100,0.3,104,mm-bo12x5,3,12,5.0,SUCCESS,1,12,10.26,9.47,18,1026,62.9936,
Z12,100,0.3,104,mm-bo3x20,4,3,20.0,SUCCESS,1,3,9.23,8.68,14,923,60.9118,
Z12,100,0.3,104,mm-bo6x10,4,6,10.0,SUCCESS,1,6,9.29,8.7,15,929,61.352,
Z12,100,0.3,105,mm-bo3x20,1,3,20.0,SUCCESS,1,3,9.16,8.57,14,916,56.6258,
Z12,100,0.3,104,mm-bo12x5,4,12,5.0,SUCCESS,1,12,10.26,9.49,16,1026,63.8455,
Z12,100,0.3,105,mm-bo6x10,0,6,10.0,SUCCESS,1,6,9.25,8.69,15,925,61.3673,
Z12,100,0.3,105,mm-bo3x20,2,3,20.0,SUCCESS,1,3,9.28,8.62,14,928,56.5909,
Z12,100,0.3,105,mm-bo12x5,0,12,5.0,SUCCESS,1,12,10.3,9.46,18,1030,62.5494,
Z12,100,0.3,105,mm-bo3x20,4,3,20.0,SUCCESS,1,3,8.96,8.51,13,896,49.7799,
Z12,100,0.3,105,mm-bo6x10,1,6,10.0,SUCCESS,1,6,9.83,9.23,17,983,62.1539,
Z12,100,0.3,105,mm-bo12x5,1,12,5.0,SUCCESS,1,12,10.57,9.6,19,1057,62.294,
Z12,100,0.3,105,mm-bo3x20,3,3,20.0,SUCCESS,1,3,8.87,8.42,14,887,57.2632,
Z12,140,0.2,102,mm-bo1x60,0,1,60.0,SUCCESS,1,1,12.7643,11.7929,21,1787,30.8502,
Z12,100,0.3,105,mm-bo6x10,2,6,10.0,SUCCESS,1,6,9.22,8.52,14,922,62.4702,
Z12,140,0.2,101,mm-bo1x60,2,1,60.0,SUCCESS,1,1,12.5,11.6429,21,1750,46.8067,
Z12,100,0.3,105,mm-bo6x10,3,6,10.0,SUCCESS,1,6,9.33,8.8,15,933,61.4625,
Z12,100,0.3,105,mm-bo12x5,2,12,5.0,SUCCESS,1,12,9.98,9.3,17,998,63.6809,
Z12,100,0.3,105,mm-bo12x5,3,12,5.0,SUCCESS,1,12,9.79,9.14,16,979,62.9764,
Z12,140,0.2,101,mm-bo1x60,4,1,60.0,SUCCESS,1,1,12.0429,11.3714,20,1686,43.3678,
Z12,100,0.3,105,mm-bo6x10,4,6,10.0,SUCCESS,1,6,9.71,9.02,15,971,62.2008,
Z12,100,0.3,105,mm-bo12x5,4,12,5.0,SUCCESS,1,12,10.7,9.86,17,1070,62.4451,
Z12,140,0.2,101,mm-bo3x20,0,3,20.0,SUCCESS,1,3,13.0357,12.1143,21,1825,61.4838,
Z12,140,0.2,101,mm-bo6x10,0,6,10.0,SUCCESS,1,6,14.5214,13.3071,24,2033,62.967,
Z12,140,0.2,101,mm-bo3x20,1,3,20.0,SUCCESS,1,3,13.1357,12.0786,22,1839,61.054,
Z12,140,0.2,103,mm-bo1x60,0,1,60.0,SUCCESS,1,1,14.4214,13.0429,25,2019,16.7329,
Z12,140,0.2,101,mm-bo6x10,1,6,10.0,SUCCESS,1,6,14.3429,13.0929,26,2008,62.3804,
Z12,140,0.2,102,mm-bo1x60,1,1,60.0,SUCCESS,1,1,12.2357,11.4143,21,1713,40.6226,
Z12,140,0.2,101,mm-bo12x5,0,12,5.0,SUCCESS,1,12,15.6286,14.3571,27,2188,64.4331,
Z12,140,0.2,101,mm-bo3x20,2,3,20.0,SUCCESS,1,3,13.9857,12.8857,24,1958,60.0546,
